Airport_ID,Airport_name,Place,State,iata_code,gps_code,score,type,Rank,Passengers_2022_23,Passengers_2021_22
26555,Indira Gandhi International Airport,Delhi,Delhi,DEL,VIDP,51475,large_airport,1,"6,53,27,833","3,93,39,998"
26434,Chhatrapati Shivaji International Airport,Mumbai,Maharashtra,BOM,VABB,1014475,large_airport,2,"4,39,30,298","2,17,47,892"
35145,Kempegowda International Airport,Bangalore,Karnataka,BLR,VOBL,51200,large_airport,3,"3,19,11,429","1,62,87,097"
26618,Chennai International Airport,Chennai,Tamil Nadu,MAA,VOMM,51150,large_airport,5,"1,85,71,393","95,33,301"
26609,Cochin International Airport,Kochi,Kerala,COK,VOCI,1000,large_airport,8,"88,12,531","47,17,777"
26496,Netaji Subhash Chandra Bose International Airport,Kolkata,West Bengal,CCU,VECC,1200,large_airport,6,"1,77,68,862","1,10,36,108"
35141,Rajiv Gandhi International Airport,Hyderabad,Telangana,HYD,VOHS,1200,large_airport,4,"2,09,96,027","1,24,29,796"
26629,Trivandrum International Airport,Thiruvananthapuram,Kerala,TRV,VOTV,1050,large_airport,18,"34,78,067","16,55,506"
26431,Sardar Vallabhbhai Patel International Airport,Ahmedabad,Gujarat,AMD,VAAH,1050,medium_airport,7,"1,01,37,001","56,70,896"
26563,Jaipur International Airport,Jaipur,Rajasthan,JAI,VIJP,1050,medium_airport,13,"47,64,382","29,43,171"
26455,Pune Airport,Pune,Maharashtra,PNQ,VAPO,800,medium_airport,10,"80,07,160","37,13,491"
26540,Sri Guru Ram Dass Jee International Airport,Amritsar,Punjab,ATQ,VIAR,1050,large_airport,25,"25,16,518","13,82,004"
26438,Vadodara Airport,Vadodara,Gujarat,BDQ,VABO,1000,medium_airport,42,"10,88,990","5,75,690"
26617,Mangalore International Airport,Mangalore,Karnataka,IXE,VOML,1025,medium_airport,29,"18,09,266","10,13,453"
26545,Lal Bahadur Shastri Airport,Varanasi,Uttar Pradesh,VNS,VIBN,1050,medium_airport,24,"25,21,442","17,08,220"
26607,Coimbatore International Airport,Coimbatore,Tamil Nadu,CJB,VOCB,925,medium_airport,22,"25,57,263","12,85,922"
26501,Lokpriya Gopinath Bordoloi International Airport,Guwahati,Assam,GAU,VEGT,925,medium_airport,12,"50,51,480","31,48,956"
26517,Lok Nayak Jayaprakash Airport,Patna,Bihar,PAT,VEPT,1050,medium_airport,15,"37,48,635","29,67,681"
26446,Devi Ahilyabai Holkar Airport,Indore,Madhya Pradesh,IDR,VAID,975,medium_airport,20,"28,28,587","16,29,668"
26562,Jodhpur Airport,Jodhpur,Rajasthan,JDH,VIJO,875,medium_airport,45,"8,99,403","7,68,227"
26616,Madurai Airport,Madurai,Tamil Nadu,IXM,VOMD,800,medium_airport,40,"11,38,005","6,79,781"
26491,Bagdogra Airport,Siliguri,West Bengal,IXB,VEBD,800,medium_airport,23,"25,55,305","19,80,049"
26523,Vishakhapatnam Airport,Visakhapatnam,Andhra Pradesh,VTZ,VOVZ,450,small_airport,26,"25,00,654","16,10,483"
26570,Chaudhary Charan Singh International Airport,Lucknow,Uttar Pradesh,LKO,VILK,1050,medium_airport,11,"52,20,528","33,03,960"
26550,Chandigarh Airport,Chandigarh,Chandigarh,IXC,VICG,800,medium_airport,16,"36,77,786","22,89,169"
26461,Surat Airport,Surat,Gujarat,STV,VASU,250,medium_airport,38,"12,39,913","9,33,817"
26620,Vir Savarkar International Airport,Port Blair,Andaman and Nicobar,IXZ,VOPB,800,medium_airport,35,"12,73,138","7,61,610"
26459,Raipur Airport,Raipur,Chhattisgarh,RPR,VERP,800,small_airport,28,"22,51,998","14,07,157"
26578,Sheikh ul Alam Airport,Srinagar,Jammu and Kashmir,SXR,VISR,800,medium_airport,14,"44,09,665","31,58,400"
26453,Dr. Babasaheb Ambedkar International Airport,Nagpur,Maharashtra,NAG,VANP,1050,medium_airport,21,"25,65,155","16,05,433"
26462,Maharana Pratap Airport,Udaipur,Rajasthan,UDR,VAUD,1025,medium_airport,34,"13,55,215","9,17,938"
26519,Birsa Munda Airport,Ranchi,Jharkhand,IXR,VERC,925,medium_airport,27,"24,17,774","17,23,237"
26606,Vijayawada Airport,Vijayawada,Andhra Pradesh,VGA,VOBZ,800,medium_airport,43,"9,66,383","6,25,131"
26489,Agartala Airport,Agartala,Tripura,IXA,VEAT,800,medium_airport,33,"13,86,087","9,01,206"
26458,Rajkot Airport,Rajkot,Gujarat,RAJ,VARK,1025,medium_airport,46,"7,70,605","4,20,372"
26439,Raja Bhoj International Airport,Bhopal,Madhya Pradesh,BHO,VABP,925,medium_airport,41,"11,35,781","7,33,236"
26504,Imphal Airport,Imphal,Manipur,IMF,VEIM,925,medium_airport,39,"12,33,997","8,14,913"
26627,Tirupati Airport,Tirupati,Andhra Pradesh,TIR,VOTP,450,small_airport,44,"9,19,267","6,23,341"
26512,Dibrugarh Airport,Dibrugarh,Assam,DIB,VEMN,325,medium_airport,49,"6,75,304","5,25,925"
26565,Jammu Airport,Jammu,Jammu and Kashmir,IXJ,VIJU,975,medium_airport,31,"15,79,519","12,73,288"
26554,Dehradun Airport,Dehradun,Uttarakhand,DED,VIDN,800,medium_airport,30,"15,95,977","9,17,949"
